OBJECTID,TYPE_REG,ID_ETABLISSEMENT,NOM,UNITE_LOCALE,COMPLEMENT_LOCALI,STATUT_REG,IMMAT_DT,TYPE_LOCAL,CODE_NOGA,BRANCHE,ACTIVITE_DETAIL,TAILLE,RAISON_SOC_PARENT,ID_ENTREPRISE,TEL_PRINCIPAL,TEL_SECONDAIRE,FAX,EMAIL,SITE_INTERNET,PHYS_RUE,PHYS_NUMRUE,PHYS_NPA,PHYS_LOCALITE,PHYS_COMMUNE,IDPADR,ADRESSE,NUM_IDE,RAISON_SOCIALE,NATURE_JURID,SIEGE_CANTON,SIEGE_PAYS,SOUS_TYPE,E,N
69,Etablissement,1-4XH-10454,Pascal Investment Advisers,67335814.0,,En activité,2002-05-14,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Pascal Investment Advisers SA,1-4XH-10435,41227187400.0,41796269425.0,41227187409.0,info@pascaladvisers.com,https://pascaladvisers.com,Rue du Rhône,116,1204,Genève,Genève,930225024551,Rue du Rhône 116,,Pascal Investment Advisers,,,,,2500883.79,1117604.81
21,Etablissement,1-4XH-11356,EJS Investment Management,67466212.0,,En activité,2002-07-31,Bureau/étude/cabinet,649901,Sociétés d'investissement,,10-19 travailleurs,EJS Investment Management SA,1-4XH-11355,41227155555.0,,41227155510.0,,,Rue du Rhône,92,1204,Genève,Genève,930225024545,Rue du Rhône 92,,EJS Investment Management,,,,,2500602.95,1117696.6
55,Etablissement,1-14MR1Q,Fininvesta,73812923.0,,En activité,2020-03-10,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Fininvesta Sàrl,1-14MQYQ,41223203232.0,,41223203336.0,admin@octogone.ch,http://www.octogone.ch,Rue De-CANDOLLE,26,1205,Genève,Genève-Cité,930225004148,Rue De-CANDOLLE 26,,Fininvesta,,,,,2500188.96,1117064.89
214,Etablissement,1-4XH-13809,Artal International Genève,67951610.0,,En activité,2003-06-24,Bureau/étude/cabinet,649901,Sociétés d'investissement,,3-5 travailleurs,"ARTAL INTERNATIONAL S.C.A., Luxembourg, succursale de Genève",1-4XH-13808,41228103606.0,,,,,Quai du Mont-Blanc,7,1201,Genève,Genève-Cité,930225019453,Quai du Mont-Blanc 7,,Artal International Genève,,,,,2500414.7,1118171.63
377,Etablissement,1-4XH-2155,Hantes Finance,65020200.0,,En activité,1998-02-23,Bureau/étude/cabinet,663002,Gestion de fonds,,,Hantes Finance SA,1-4XH-2154,41228190890.0,,41228190899.0,hantesfinance@bluewin.ch,,Place de Longemalle,19,1204,Genève,Genève,930225016783,Place de Longemalle 19,,Hantes Finance,,,,,2500540.38,1117625.85
384,Etablissement,1-4XH-2175,Rive 6,45567398.0,,En activité,1998-01-07,Bureau/étude/cabinet,663002,Gestion de fonds,Family office,20-49 travailleurs,Rive 6 SA,1-4XH-2174,41223196600.0,41223196602.0,,vpuaux@rive6.ch,,Rue de Rive,6,1204,Genève,Genève-Cité,930225024807,Rue de Rive 6,,Rive 6,,,,,2500575.94,1117572.44
439,Etablissement,1-4XH-25806,PLUS ONE,67677968.0,,En activité,2007-03-22,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,PLUS ONE SA,1-4XH-25805,41229068070.0,,41229068071.0,contact@plusonesa.com,https://plusonesa.com,Quai des Bergues,23,1201,Genève,Genève,930225002213,Quai des Bergues 23,,PLUS ONE,,,,,2500169.65,1118035.8
475,Etablissement,1-4XH-2254,PRO GESTION,65031951.0,,En activité,1998-02-27,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,PRO GESTION SA,1-4XH-2253,41227373060.0,,41227373070.0,info@progestion.ch,,Rue de la Cité,3,1204,Genève,Genève,930225006789,Rue de la Cité 3,,PRO GESTION,,,,,2500063.37,1117722.09
490,Etablissement,1-4XH-23303,SOGELAC,70061808.0,,En activité,2006-03-14,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,SOGELAC SA,1-4XH-23302,41227188899.0,,41227188890.0,info@sogelac.ch,http://www.sogelac.ch,Rue du Rhône,118,1204,Genève,Genève,930225024552,Rue du Rhône 118,,SOGELAC,,,,,2500903.98,1117598.34
533,Etablissement,1-4XH-25166,Senecas Capital,71419450.0,,En activité,2007-07-27,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Senecas Capital SA,1-4XH-25165,41223186622.0,,41223186620.0,julio@senecas-capital.com,,Rue de l'Hôtel-de-Ville,16,1204,Genève,Genève,930225015052,Rue de l'Hôtel-de-Ville 16,,Senecas Capital,,,,,2500388.62,1117341.68
