,OBJECTID,TYPE_REG,ID_ETABLISSEMENT,NOM,UNITE_LOCALE,COMPLEMENT_LOCALI,STATUT_REG,IMMAT_DT,TYPE_LOCAL,CODE_NOGA,BRANCHE,ACTIVITE_DETAIL,TAILLE,RAISON_SOC_PARENT,ID_ENTREPRISE,TEL_PRINCIPAL,TEL_SECONDAIRE,FAX,EMAIL,SITE_INTERNET,PHYS_RUE,PHYS_NUMRUE,PHYS_NPA,PHYS_LOCALITE,PHYS_COMMUNE,IDPADR,ADRESSE,NUM_IDE,RAISON_SOCIALE,NATURE_JURID,SIEGE_CANTON,SIEGE_PAYS,SOUS_TYPE,E,N
2,3,Etablissement,1-1XL1DA,BTG Trust & Corporate Services,11580355.0,,En activité,2019-12-17,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,3-5 travailleurs,BTG Trust & Corporate Services SA,1-YP1ZY,41227079256.0,,,dealings@btg-switzerland.com,https://www.btg-group.com,Place de Saint-Gervais,1,1201,Genève,Genève-Cité,930225025624,Place de Saint-Gervais 1,,BTG Trust & Corporate Services,,,,,2499956.91,1117986.58
44,30,Etablissement,1-4XH-11555,Edelweiss Trust,67273959.0,,En activité,2002-04-23,Bureau/étude/cabinet,702200,Conseil pour les affaires et autres conseils de gestion,,6-9 travailleurs,Edelweiss Trust S.A.,1-4XH-11554,41227153830.0,41227153832.0,41227153837.0,info@edeltrust.com,,Rue du Mont-Blanc,7,1201,Genève,Genève-Cité,930225019470,Rue du Mont-Blanc 7,,Edelweiss Trust,,,,,2500236.28,1118188.66
69,55,Etablissement,1-14MR1Q,Fininvesta,73812923.0,,En activité,2020-03-10,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Fininvesta Sàrl,1-14MQYQ,41223203232.0,,41223203336.0,admin@octogone.ch,http://www.octogone.ch,Rue De-CANDOLLE,26,1205,Genève,Genève-Cité,930225004148,Rue De-CANDOLLE 26,,Fininvesta,,,,,2500188.96,1117064.89
458,475,Etablissement,1-4XH-2254,PRO GESTION,65031951.0,,En activité,1998-02-27,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,PRO GESTION SA,1-4XH-2253,41227373060.0,,41227373070.0,info@progestion.ch,,Rue de la Cité,3,1204,Genève,Genève,930225006789,Rue de la Cité 3,,PRO GESTION,,,,,2500063.37,1117722.09
473,490,Etablissement,1-4XH-23303,SOGELAC,70061808.0,,En activité,2006-03-14,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,SOGELAC SA,1-4XH-23302,41227188899.0,,41227188890.0,info@sogelac.ch,http://www.sogelac.ch,Rue du Rhône,118,1204,Genève,Genève,930225024552,Rue du Rhône 118,,SOGELAC,,,,,2500903.98,1117598.34
513,515,Etablissement,1-4XH-2439,CAPI  Compagnie auxiliaire pour l'Investissement,41928937.0,,En activité,1978-09-21,Bureau/étude/cabinet,663002,Gestion de fonds,Conseils et gestion industriels,3-5 travailleurs,CAPI SA Compagnie auxiliaire pour l'Investissement,1-4XH-2438,41227373030.0,,41227373050.0,capi@capi.ch,,Rue de la Pélisserie,18,1204,Genève,Genève,930225021151,Rue de la Pélisserie 18,,CAPI  Compagnie auxiliaire pour l'Investissement,,,,,2500224.5,1117578.98
608,656,Etablissement,1-4XH-3226,Arcus Finance,65317126.0,,En activité,1998-07-21,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Arcus Finance SA,1-4XH-3225,41229098222.0,,,dir@arcus-fin.ch,https://arcus-fin.ch/,Rue Ferdinand-HODLER,23,1207,Genève,Genève-Cité,930225015019,Rue Ferdinand-HODLER 23,,Arcus Finance,,,,,2501009.41,1117196.63
673,674,Etablissement,1-4XH-33659,GGd Patrimoines Privés,74514333.0,,En activité,2010-03-30,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",Conseils en investissement,3-5 travailleurs,GGd Patrimoines Privés SA,1-4XH-33658,41225101281.0,,41225101285.0,gg@ggdpp.com,https://ggdpp.com/,Rue du Mont-Blanc,4,1201,Genève,Genève,930225019467,Rue du Mont-Blanc 4,,GGd Patrimoines Privés,,,,,2500339.97,1118136.74
690,706,Etablissement,1-4XH-3551,Prime Partners,65366720.0,,En activité,1998-09-30,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de fortunes,20-49 travailleurs,Prime Partners SA,1-4XH-2574,41227870680.0,,41227870690.0,client.contact@prime-partners.com,http://www.prime-partners.com,Rue des Alpes,15,1201,Genève,Genève,930225000414,Rue des Alpes 15,,Prime Partners,,,,,2500268.66,1118352.52
1118,1041,Etablissement,1-4XH-56022,RUBICON ASSET MANAGEMENT,90914914.0,,En activité,2015-04-02,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,RUBICON ASSET MANAGEMENT SA,1-4XH-56021,41228080930.0,,41228080929.0,rb@rubicon-am.com,https://rubicon-am.com,Rue du Général-DUFOUR,15,1204,Genève,Genève-Cité,930225012289,Rue du Général-DUFOUR 15,,RUBICON ASSET MANAGEMENT,,,,,2499909.63,1117472.81
1226,1227,Etablissement,1-4XH-69263,Atlant,93536174.0,,En activité,2016-04-29,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Atlantis Marcuard SA,1-4XH-69262,41225523800.0,,41225523820.0,services@atlantismarcuard.com,https://atlantismarcuard.com,Rue du Mont-Blanc,4,1201,Genève,Genève,930225019467,Rue du Mont-Blanc 4,,Atlant,,,,,2500339.97,1118136.74
1230,1231,Etablissement,1-4XH-7002,Helvetic Investor Group,65595621.0,,En activité,1999-03-23,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Helvetic Investor Group SA,1-4XH-7001,41223183720.0,,41223183721.0,info@investorgestion.ch,http://www.investorgestion.ch,Place des Philosophes,18,1205,Genève,Genève,930225041663,Place des Philosophes 18,,Helvetic Investor Group,,,,,2500171.16,1116926.06
1353,1275,Etablissement,1-4XH-73127,Black Oak Family Office,92148593.0,,En activité,2015-10-16,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Black Oak Family Office SA,1-4XH-73126,41223229441.0,41798109550.0,41223229440.0,,http://www.blackoak.ch,rue de la Madeleine,13,1204,Genève,Genève-Cité,930225017078,Rue de la Madeleine 13,,Black Oak Family Office,,,,,2500468.51,1117580.24
1374,1375,Etablissement,1-4XH-89400,EOP & Compagnie,53596543.0,,En activité,1986-05-27,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,EOP & Compagnie SA,1-4XH-89399,41223469802.0,,41223475142.0,contact@eop-cie.org,,Rue Rodolphe-TOEPFFER,11BIS,1206,Genève,Genève-Cité,930225028852,Rue Rodolphe-TOEPFFER 11BIS,,EOP & Compagnie,,,,,2500853.7,1117168.7
1507,1557,Etablissement,1-1E9C8Z,FFM Gestion,10244736.0,,En activité,2019-03-14,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,FFM Gestion SA,1-J9517,41227160320.0,,,info@caridab.com,https://www.ffm-gestion.ch/,Quai WILSON,45,1201,Genève,Genève-Cité,930225046753,Quai WILSON 45,,FFM Gestion,,,,,2500716.08,1118854.1
1544,1594,Etablissement,1-1HO2BO,FIDES CAPITAL,96570483.0,,En activité,2017-10-12,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,FIDES CAPITAL SA,1-4XH-74991,41227020949.0,,,info@fides-capital.com,http://www.fides-capital.com,Rue du Conseil-Général,12,1205,Genève,Genève-Cité,930225007664,Rue du Conseil-Général 12,,FIDES CAPITAL,,,,,2499981.99,1117228.95
1556,1606,Etablissement,1-1HOXVZ,Reposit,97904528.0,,En activité,2018-05-30,Bureau/étude/cabinet,663002,Gestion de fonds,,,Reposit SA,1-4P1VH,,,,,,Rue du Rhône,118,1204,Genève,Genève-Cité,930225024552,Rue du Rhône 118,,Reposit,,,,,2500903.98,1117598.34
1632,1633,Etablissement,1-4XH-99964,Pramadex,64377794.0,,En activité,1996-10-08,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Pramadex SA,1-4XH-99873,41223190939.0,,41223102340.0,pramadex@bluewin.ch,http://www.pramadex.com,Rue Neuve-du-Molard,8,1204,Genève,Genève,930225020548,Rue Neuve-du-Molard 8,,Pramadex,,,,,2500434.95,1117694.02
1634,1652,Etablissement,1-1HO2RY,HELMS Family Office,10831400.0,,En activité,2019-07-10,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,HELMS Family Office SA,1-OZITZ,41223190939.0,41227564530.0,,info@helmsfo.com,https://helmsfamilyoffice.com/,Rue Neuve-du-Molard,8,1204,Genève,Genève-Cité,930225020548,Rue Neuve-du-Molard 8,,HELMS Family Office,,,,,2500434.95,1117694.02
1789,1840,Etablissement,1-1HOCUB,Key Family Partners,10903222.0,,En activité,2019-07-25,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,3-5 travailleurs,Key Family Partners SA,1-PPYEV,41223390000.0,,,reception@keyfamilypartners.com,https://keyfamilypartners.com,Rue François-BONIVARD,6,1201,Genève,Genève-Cité,930225003044,Rue François-BONIVARD 6,,Key Family Partners,,,,,2500321.29,1118226.83
1823,1741,Etablissement,1-1ABORH,Omnium Capital Management,94264658.0,,En activité,2017-09-30,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,1-2 travailleurs,Omnium Capital Management Sàrl,1-4XH-67950,41788352798.0,,,investors@omnium-capital.com,https://www.omnium-capital.com,Cours de Rive,2,1204,Genève,Genève-Cité,930225024785,Cours de Rive 2,,Omnium Capital Management,,,,,2500715.41,1117509.94
1858,1776,Etablissement,1-1UE51X,Magnolia Private Office,11067379.0,,En activité,2021-01-19,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,Trustee,10-19 travailleurs,Magnolia Private Office S.A.,1-RTYSP,41227154646.0,,,,https://www.magnoliaprivateoffice.com,Quai des Bergues,29,1201,Genève,Genève-Cité,930225002216,Quai des Bergues 29,,Magnolia Private Office,,,,,2500224.32,1118056.79
1969,2964,Etablissement,1-4XH-88649,Geremant,46685008.0,,En activité,1982-09-23,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Geremant SA,1-4XH-88558,41227035777.0,,,kr@geremant.com,http://www.geremant.com,Avenue de Champel,24,1206,Genève,Genève,930225005195,Avenue de Champel 24,,Geremant,,,,,2500754.26,1116339.05
1973,2968,Etablissement,1-4XH-88679,Forvest,46625763.0,,En activité,1982-05-28,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Forvest SA,1-4XH-88588,41229083636.0,,41229083637.0,info@forvest.ch,https://www.forvestglobal.com/,Rue KLÉBERG,14,1201,Genève,Genève,930225015858,Rue KLÉBERG 14,,Forvest,,,,,2500235.8,1118150.5
2053,3219,Etablissement,1-4XH-98201,Palms Family Office,60366540.0,,En activité,1989-05-11,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Palms Family Office Suisse SA,1-4XH-98109,41223184383.0,,41223110631.0,geneva@palms-familyoffice.com,http://www.palms-familyoffice.com,Boulevard Helvétique,15,1207,Genève,Genève-Cité,930225014567,Boulevard Helvétique 15,,Palms Family Office,,,,,2500820.62,1117364.19
2104,3001,Etablissement,1-4XH-86381,"SFB, Société Financière des Bastions",61229087.0,,En activité,1989-07-03,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,"SFB, Société Financière des Bastions SA",1-4XH-86858,41227040880.0,,41227040888.0,info@sfdb.ch,https://sfdb.ch/,Chemin Doctoresse-CHAMPENDAL,4,1206,Genève,Genève,940414154933,Chemin Doctoresse-CHAMPENDAL 4,,"SFB, Société Financière des Bastions",,,,,2501782.98,1116387.93
2229,3032,Etablissement,1-4XH-96642,NWT Conseil,61687177.0,Place de Saint-Gervais,En activité,1991-06-26,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,20-49 travailleurs,NWT SWITZERLAND SA,1-4XH-94001,41227002925.0,,41227002933.0,geneva@nwtc.ch,http://www.newworldtrust.com,Place de Saint-Gervais,1,1201,Genève,Genève-Cité,930225025624,Place de Saint-Gervais 1,,NWT Conseil,,,,,2499956.91,1117986.58
