,Name,City,Portfolio Manager,Trustee,Supervisory organisation
3,"""Commercial"" Treuhand- und Verwaltungs AG",Zürich,X,,FINcontrol Suisse AG
4,1.618 Capital AG,Zug,X,,OSFIN Organisation de surveillance financière
5,1788 Capital S.A.,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
6,1L Capital AG,Zürich,X,,FINcontrol Suisse AG
7,2C Advisors Sarl,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
8,2trade group ltd,Zürich,X,,OSFIN Organisation de surveillance financière
9,3T Family Office SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
10,3Worlds AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
11,47 Capital AG,Wollerau,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
12,47 Heritage AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
13,4e Capital AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
14,720 AM SA,Châtelaine,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
15,A - Round Investment SA,Lugano,X,,OSFIN Organisation de surveillance financière
16,A&T Alpha Credit SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
17,A.J.K. Wealth Management (Schweiz) AG,Zürich,X,,FINcontrol Suisse AG
18,A.M. Family Office SA,Locarno,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
19,A1+ Asset Management SA,Givrins,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
20,AAA Vermögensverwaltung Wiggenhauser,Bülach,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
21,AarauInvest AG,Aarau,X,,FINcontrol Suisse AG
22,ABBR Aktiengesellschaft,Buchs SG,X,,OSFIN Organisation de surveillance financière
23,Abeloo SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
24,ABRIAS Investment Management AG,Zug,X,,FINcontrol Suisse AG
25,Abts & De Maertelaere GmbH,Zug,X,,FINcontrol Suisse AG
26,ACCRESCO Investment AG,Basel,X,,FINcontrol Suisse AG
27,ACCURATE WEALTH MANAGEMENT SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
28,Accuro Trust (Switzerland) SA,Grand-Lancy,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
29,ACE TRUSTEES SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
30,ACR Wirtschaft und Vermögen AG,St. Gallen,X,,FINcontrol Suisse AG
31,ACT Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
32,Actan AG,Luzern,X,,FINcontrol Suisse AG
33,Actieninvest AG,Zürich,X,,FINcontrol Suisse AG
34,Active Advisory Partners AG,Solothurn,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
35,Actus Capital SA,Nyon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
36,Adams Berg SA,Paradiso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
37,Adaptivv Financial Technologies AG,Zürich,X,,FINcontrol Suisse AG
38,ADDVISION WEALTH MANAGEMENT SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
39,Adelga AG,Basel,X,,FINcontrol Suisse AG
40,Adequaris AG,Fribourg,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
41,ADN FINANCE SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
42,Advantage Family Office Services SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
43,Advantage Finance SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
44,Adventus Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
45,Aequitum SA,Lugano,X,,OSFIN Organisation de surveillance financière
46,Agave Advisors SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
47,Agence Suisse Du Patrimoine SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
48,AGENDA INVEST AG,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
49,AGFIF International AG,Zürich,X,,OSFIN Organisation de surveillance financière
50,AJ Capital Management SA,Chiasso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
51,AKOFIN AG,Tägerwilen,X,,FINcontrol Suisse AG
52,Aktiva Vermögensverwaltung AG,Zollikon,X,,FINcontrol Suisse AG
53,ALAF Capital SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
54,Alameda Partners AG,Wollerau,X,,OSFIN Organisation de surveillance financière
55,Alana Capital SA (en formation),Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
56,Albion Capital Management Ltd.,Zürich,X,,FINcontrol Suisse AG
57,Albula Advisors SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
58,"Alder, Helfenstein & Partner AG",Luzern,X,,FINcontrol Suisse AG
59,ALERE SYON WEALTH Sàrl,Le Grand-Saconnex,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
60,Alex Morgenbesser - Yekara,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
61,Alkimia SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
62,Allegra Vermögensverwaltungs AG,Chur,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
63,Alliance Partners SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
64,All-In Finanz AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
65,Almada Capital Sàrl,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
66,Alp Financial Services SA,Nyon,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
67,Alpadis Trust (Switzerland) AG,Zürich,,X,FINcontrol Suisse AG
68,ALP-GESTION.CH SA,Martigny,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
69,Alpha Asset Administration AG,Buchs SG,X,,OSFIN Organisation de surveillance financière
70,Alpha Bloom AG,Pfäffikon SZ,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
71,Alpha Blue Sky Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
72,Alpha Capital AG,Zürich,X,,OSFIN Organisation de surveillance financière
73,Alpha Leonis Partners AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
74,Alphabeta Partners AG,Baar,X,,FINcontrol Suisse AG
75,AlphaMatrix Finance SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
76,AlphaSwiss Partners SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
77,Alphen Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
78,Alpina Fiduciaries SA,Nyon,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
79,Alston Capital Sàrl,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
80,Altaïr Finance AG,Zug,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
81,Alternative Finance SA,Paradiso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
82,Alternative Investment Solutions SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
83,AlTi Wealth Management (Switzerland) SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
84,Altiqa SA,Lugano,,X,OSFIN Organisation de surveillance financière
85,ALTITUDE INVESTMENT SOLUTIONS SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
