name,linkedin,domain,website,total_emails,generic_emails,personal_emails,executive_emails,executive_emails_department,phone_number,address
1788 Capital S.A.,https://www.linkedin.com/company/1788-capital,www.1788capital.com,https://www.1788capital.com/,1,0,1,1,0,+41 22 317 40 50,"Rue du Rhône 114, 1204 Genève, Switzerland"
3T Family Office SA,False,www.3tfamilyoffice.com,http://www.3tfamilyoffice.com/,1,0,1,1,1,+41 22 732 11 33,"Rue du Conseil-Général 16, 1205 Genève, Switzerland"
A&T Alpha Credit SA,https://ch.linkedin.com/company/a-t-alpha-credit-sa,alpha-credit.ch,http://alpha-credit.ch/,3,1,2,1,2,+41 22 519 12 50,"Quai des Forces-Motrices 14, 1204 Genève, Switzerland"
Abeloo SA,False,abeloo.swiss,https://abeloo.swiss/,3,1,2,0,1,+41 22 700 92 92,"Rue François-Versonnex 7, 1207 Genève, Switzerland"
ACCURATE WEALTH MANAGEMENT SA,https://www.linkedin.com/company/accuratewealthmanagement,www.accuratewealth.ch,https://www.accuratewealth.ch/,False,False,False,False,False,False,"Quai de l'Ile 15, 1204 Genève, Switzerland"
ADDVISION WEALTH MANAGEMENT SA,False,www.addvisionpartners.com,https://www.addvisionpartners.com/?utm_source=gmb&utm_medium=organic&utm_campaign=website,1,0,1,1,1,False,False
ALAF Capital SA,https://ch.linkedin.com/company/alaf-capital-sa,www.alafcapital.com,https://www.alafcapital.com/,1,0,1,1,1,+41 22 566 88 84,"Quai des Bergues 23, 1201 Genève, Switzerland"
Alliance Partners SA,https://www.linkedin.com/company/alliance-partners-sa/,alliance-partners.ch,https://alliance-partners.ch/,False,False,False,False,False,+41 22 715 00 70,"Rue Verdaine 11, 1204 Genève, Switzerland"
Almada Capital Sàrl,False,almadacap.com,https://almadacap.com/,1,1,0,0,0,+41 22 310 16 18,"Rue Jean-Petitot 2, 1204 Genève, Switzerland"
AlphaMatrix Finance SA,False,www.alphamatrix.ch,http://www.alphamatrix.ch/,1,0,1,0,0,+41 22 552 58 40,"Rue de la Croix-d'Or 17A, 1204 Genève, Switzerland"
ALTOR CAPITAL MANAGEMENT SA,https://ch.linkedin.com/company/altor-capital-management,www.altor-capital.com,https://www.altor-capital.com/,1,1,0,0,0,+41 22 310 58 55,"Rue du Rhône 57, 1204 Genève, Switzerland"
Amity Partners Sàrl,https://www.linkedin.com/company/amity-partners-sarl,yellow.local.ch,https://yellow.local.ch/d/V_xYrRmB_K9mB3rMFW90hA,False,False,False,False,False,+41 22 735 49 80,"Rue du Rhône 118/4th floor, 1204 Genève, Switzerland"
APIFINANCE SA,False,www.apifinance.ch,http://www.apifinance.ch/,False,False,False,False,False,False,"Rue des Pierres-du-Niton 17, 1207 Genève, Switzerland"
Apricus Finance SA,https://www.linkedin.com/company/apricus-finance,www.apricusfinance.com,http://www.apricusfinance.com/,1,1,0,0,0,+41 22 317 88 40,"Rue du Rhône 30, 1204 Genève, Switzerland"
ARCORA GESTION SA,https://ch.linkedin.com/company/arcora-gestion-sa,www.arcora.ch,https://www.arcora.ch/,1,1,0,0,0,+41 22 321 60 15,"Bd des Philosophes 8, 1205 Genève, Switzerland"
Arcus Finance SA,https://ch.linkedin.com/company/arcus-finance-sa,arcus-fin.ch,http://arcus-fin.ch/,2,1,1,0,0,+41 22 909 82 22,"Rue Ferdinand-Hodler 23, 1207 Genève, Switzerland"
Asset Street SA,https://ch.linkedin.com/company/asset-street-sa,www.asset-street.com,http://www.asset-street.com/,False,False,False,False,False,+41 22 736 00 28,"Rue du Rhône 67, 1207 Genève, Switzerland"
ATLANTIC GESTION SA,False,www.atlanticgestion.com,http://www.atlanticgestion.com/,1,1,0,0,0,False,"Rue des Pierres-du-Niton 17, 1207 Genève, Switzerland"
Atlantis Marcuard SA,False,atlantismarcuard.com,http://atlantismarcuard.com/,3,1,2,1,1,+41 22 552 38 00,"Rue du Mont-Blanc 4, 1201 Genève, Switzerland"
Auris Wealth Management SA,https://www.linkedin.com/company/auris-wealth-management-s-a-,www.auriswm.ch,http://www.auriswm.ch/,13,0,13,3,4,False,"Bd des Philosophes 15, 1205 Genève, Switzerland"
Authentic Capital SA,https://ch.linkedin.com/in/thierry-loney-60895634,authentic-capital.com,http://authentic-capital.com/,1,1,0,0,0,+41 22 322 56 40,"Bd Georges-Favon 8, 1204 Genève, Switzerland"
AV Management SA,False,yellow.local.ch,https://yellow.local.ch/d/6DJeqMVFLupF460tFqPJEw,False,False,False,False,False,+41 22 310 58 00,"Rue Claudine-Levet 7, 1201 Genève, Switzerland"
AWARE Investments (Switzerland) SA,False,www.awareswiss.com,https://www.awareswiss.com/,1,1,0,0,0,+41 22 869 15 22,"Rue Pierre-Fatio 15, 1204 Genève, Switzerland"
Axia Management SA,False,www.axiamgmt.com,http://www.axiamgmt.com/index.php?id=about-us,False,False,False,False,False,+41 22 525 22 04,"Rue de Lausanne 72, 1202 Genève, Switzerland"
AZURA SUISSE SA,False,www.azura.com,https://www.azura.com/#banner,16,4,12,7,5,False,False
BCT Bastion Capital & Trust SA,False,bctbastion.com,http://bctbastion.com/,1,1,0,0,0,+41 22 740 10 00,"Cours des Bastions 5, 1205 Genève, Switzerland"
CAPITAL STRATEGY SA,False,yellow.local.ch,https://yellow.local.ch/d/UEpyRAOBQDd1M2JoguZRFQ,False,False,False,False,False,+41 22 819 40 70,"Rue du Général-Dufour 12, 1204 Genève, Switzerland"
Capital Vision Wealth Management SA,https://www.linkedin.com/company/capitalvision/,www.capitalvision.ch,http://www.capitalvision.ch/,9,1,8,2,3,False,"Rue du Rhône 59, 1204 Genève, Switzerland"
CdR Capital SA,False,cdr-capital.com,https://cdr-capital.com/,9,2,7,3,6,+41 22 317 80 90,"Cr de Rive 6, 1204 Genève, Switzerland"
CEFISA Associés SA,False,cefisa.ch,http://cefisa.ch/accueil/,1,1,0,0,0,+41 22 594 36 00,"Rue Michel-Chauvet 11, 1208 Genève, Switzerland"
CFG - Compagnie Financière Genevoise 1855 SA,False,www.cfg1855.com,http://www.cfg1855.com/,2,1,1,0,0,False,"Pl. de l'Université 5, 1205 Genève, Switzerland"
CIGP COMPAGNIE D'INVESTISSEMENTS ET DE GESTION PRIVEE SA,False,www.cigp.com,http://www.cigp.com/,32,4,28,1,2,+41 22 310 48 77,"Rue Maurice 3, 1204 Genève, Switzerland"
CISA Trust Company (Switzerland) SA,https://www.linkedin.com/company/cisa-trust,www.cisatrust.com,http://www.cisatrust.com/,6,1,5,2,2,+41 22 734 55 50,"Rue du Rhône 65, 1204 Genève, Switzerland"
CJC ADVISORS SA,https://www.linkedin.com/company/cjc-advisors-sa,www.cjcadvisors.ch,http://www.cjcadvisors.ch/,2,0,2,1,1,+41 22 318 00 00,"Rue du Rhône 30, 1204 Genève, Switzerland"
Clarity Partners SA,False,www.claritypartners.swiss,https://www.claritypartners.swiss/,False,False,False,False,False,+41 58 501 30 00,"Rue Saint-Léger 8, 1205 Genève, Switzerland"
