name,linkedin,domain,website,total_emails,generic_emails,personal_emails,executive_emails,executive_emails_department,phone_number,address
4e Capital AG,https://ch.linkedin.com/company/4e-capital,www.4e-capital.ch,http://www.4e-capital.ch/,6,1,5,1,2,False,"Bahnhofstrasse 17, 6300 Zug, Switzerland"
Anthos Swiss Service Office AG,https://www.linkedin.com/company/anthos-swiss-service-office-ag,www.cofraholding.com,http://www.cofraholding.com/,36,6,30,14,6,+41 41 729 44 00,"Grafenauweg 10, 6300 Zug, Switzerland"
Artis Partner AG,False,www.artispartner.ch,https://www.artispartner.ch/,5,2,3,0,1,+41 41 711 62 62,"Bahnhofstrasse 29, 7712 Zug, Switzerland"
BM Asset Management AG,False,bmam.ch,https://bmam.ch/,False,False,False,False,False,+41 41 710 76 50,"Innere Güterstrasse 4, 6300 Zug, Switzerland"
Corestone Investment Managers AG,https://www.linkedin.com/company/corestone-investment-managers-ag,www.corestone.ch,https://www.corestone.ch/,3,1,2,1,1,+41 41 726 85 85,"Baarerstrasse 10, 6300 Zug, Switzerland"
Deep Field Capital AG,https://ch.linkedin.com/company/deep-field-capital-ag,yellow.local.ch,https://yellow.local.ch/d/TOW5NuyYRYmoYF0i2cj_Sw,False,False,False,False,False,+41 41 511 55 88,"Baarerstrasse 125, 6300 Zug, Switzerland"
FICAS AG,https://ch.linkedin.com/company/ficas-ltd,ficas.com,https://ficas.com/,4,1,3,2,1,+41 41 720 40 06,"Gubelstrasse 24, 6300 Zug, Switzerland"
Heldstab Treuhand AG,False,www.heldstabzug.ch,http://www.heldstabzug.ch/,3,1,2,0,0,+41 41 711 94 88,"Chamerstrasse 30, 6300 Zug, Switzerland"
Rare Capital AG,False,www.rarecapital.ch,http://www.rarecapital.ch/,1,1,0,0,0,+41 41 911 22 00,"Kolinpl. 3, 6300 Zug, Switzerland"
SBS Finance AG,False,www.sbsf.ch,http://www.sbsf.ch/,1,1,0,0,0,False,"Chamerstrasse 79, 6300 Zug, Switzerland"
TRIUS Partners AG,False,www.triuspartners.ch,http://www.triuspartners.ch/,4,1,3,0,0,+41 44 215 60 70,"Chamerstrasse 175, 6300 Zug, Switzerland"
